CustomerID,Recency,Frequency,Monetary,Cluster
12346,325,1,77183.6,Can't Lose Them
12347,2,182,4310.0,Champions
12348,75,31,1797.24,At Risk
12349,18,73,1757.55,Champions
12350,310,17,334.4,Needs Attention
12352,36,85,2506.04,Promising Customer
12353,204,4,89.0,Hibernating
12354,232,58,1079.4,At Risk
12355,214,13,459.4,Needs Attention
12356,22,59,2811.43,Promising Customer
12357,33,131,6207.67,Promising Customer
12358,1,19,1168.06,Loyal Customer
12359,57,245,6310.03,Promising Customer
12360,52,129,2662.06,Promising Customer
12361,287,10,189.9,Hibernating
12362,3,266,5226.23,Champions
12363,109,23,552.0,Needs Attention
12364,7,85,1313.1,Champions
12365,291,22,641.38,Needs Attention
12367,4,11,168.9,Promising Customer
12370,51,166,3541.94,Promising Customer
12371,44,63,1887.96,Promising Customer
12372,71,52,1298.04,At Risk
12373,311,14,364.6,Needs Attention
12374,25,33,742.9300000000001,Promising Customer
12375,10,17,457.5,Promising Customer
12377,315,77,1628.12,At Risk
12378,129,219,4008.62,Promising Customer
12379,81,40,852.24,At Risk
12380,21,104,2724.81,Champions
12381,4,87,1845.31,Champions
12383,184,99,1850.56,At Risk
12384,28,27,585.27,Promising Customer
12386,337,10,401.9,Needs Attention
12388,15,100,2780.66,Champions
12390,79,32,549.84,At Risk
12391,21,93,439.66,Potential Customer
12393,72,64,1582.6000000000001,At Risk
12394,63,27,1272.48,At Risk
12395,19,156,3018.63,Champions
12397,35,126,2409.9,Promising Customer
12398,45,85,1635.6599999999999,Promising Customer
12399,119,59,1108.65,At Risk
12401,303,5,84.3,Hibernating
12402,323,11,225.6,Hibernating
12403,49,5,427.7,Can't Lose Them
12405,148,54,1710.39,At Risk
12406,22,105,3415.3,Champions
12407,49,77,1708.1200000000001,Promising Customer
12408,32,105,2888.55,Promising Customer
12409,78,109,11072.67,Promising Customer
12410,308,26,693.3299999999999,Needs Attention
12412,74,61,1226.88,At Risk
12413,66,38,758.1,At Risk
12414,217,18,562.41,Needs Attention
12415,24,714,124914.53,Champions
12417,3,192,3649.1,Champions
12418,112,34,668.58,At Risk
12420,63,29,600.39,At Risk
12421,15,45,807.04,Promising Customer
12422,95,39,803.5600000000001,At Risk
12423,0,125,1859.31,Champions
